Year,Name,Frequency,Rank
1980,Michael,169,1
1980,Christopher,144,2
1980,Jason,143,3
1980,Matthew,120,4
1980,David,112,5
1980,Andrew,95,6
1980,Daniel,94,7
1980,Joseph,90,8
1980,Robert,89,9
1980,Eric,83,10
1980,Marc,82,11
1980,Adam,81,12
1980,Mark,81,12
1980,Ryan,78,14
1980,Scott,74,15
1980,Kevin,72,16
1980,Brian,71,17
1980,Justin,71,17
1980,James,70,19
1980,Nicholas,70,19
1981,Matthew,166,1
1981,Ryan,141,2
1981,Michael,137,3
1981,Joseph,135,4
1981,Jason,129,5
1981,Christopher,127,6
1981,David,109,7
1981,Daniel,102,8
1981,Jonathan,101,9
1981,Andrew,95,10
1981,James,84,11
1981,Justin,81,12
1981,Adam,78,13
1981,Eric,78,13
1981,Kevin,76,15
1981,Robert,75,16
1981,Marc,72,17
1981,Mathieu,72,17
1981,Jeremy,67,19
1981,Nicholas,65,20
1982,Christopher,171,1
1982,Matthew,164,2
1982,Michael,157,3
1982,Jason,135,4
1982,Joseph,129,5
1982,David,116,6
1982,Jonathan,111,7
1982,Ryan,109,8
1982,Andrew,100,9
1982,Adam,92,10
1982,James,80,11
1982,Robert,80,11
1982,Eric,77,13
1982,Kevin,74,14
1982,Daniel,72,15
1982,John,69,16
1982,Mathieu,68,17
1982,Justin,64,18
1982,Jeremy,59,19
1982,Marc,59,19
1983,Matthew,173,1
1983,Michael,143,2
1983,Christopher,131,3
1983,Joseph,127,4
1983,Ryan,123,5
1983,Jason,112,6
1983,Andrew,103,7
1983,Justin,96,8
1983,David,95,9
1983,Adam,94,10
1983,Jonathan,92,11
1983,Daniel,91,12
1983,Nicholas,82,13
1983,Mathieu,78,14
1983,Kevin,73,15
1983,Eric,70,16
1983,James,69,17
1983,Marc,69,17
1983,Mark,69,17
1983,Robert,69,17
1984,Matthew,165,1
1984,Christopher,151,2
1984,Michael,144,3
1984,Jason,127,4
1984,Joseph,119,5
1984,Andrew,112,6
1984,Joshua,108,7
1984,Ryan,106,8
1984,Daniel,95,9
1984,Adam,94,10
1984,Mathieu,92,11
1984,Justin,89,12
1984,Jonathan,84,13
1984,Nicholas,81,14
1984,Kevin,80,15
1984,David,78,16
1984,Eric,70,17
1984,James,65,18
1984,Jeffrey,64,19
1984,Marc,62,20
1985,Matthew,153,1
1985,Christopher,136,2
1985,Jason,119,3
1985,Michael,112,4
1985,Jonathan,97,5
1985,Ryan,95,6
1985,Joshua,89,7
1985,Joseph,88,8
1985,Daniel,86,9
1985,Adam,84,10
1985,Justin,81,11
1985,Andrew,80,12
1985,James,77,13
1985,Kevin,74,14
1985,David,73,15
1985,Jeffrey,72,16
1985,Mathieu,72,16
1985,Robert,68,18
1985,Eric,66,19
1985,Nicholas,62,20
1986,Christopher,162,1
1986,Matthew,138,2
1986,Michael,129,3
1986,Joshua,105,4
1986,Justin,104,5
1986,Ryan,102,6
